11:35:49.899  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
11:37:31.447  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
11:38:06.999  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
11:44:07.568  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
14:40:14.761  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
15:25:36.597  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
15:30:34.251  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
15:30:58.518  192.168.100.245:连接设备失败,  设备已经连接
15:31:46.417  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
15:44:46.174  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
15:44:57.296  192.168.100.245:连接设备失败,  设备已经连接
16:13:47.995  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:14:05.118  192.168.100.245:连接设备失败,  设备已经连接
16:14:08.149  192.168.100.245:连接设备失败,  设备已经连接
16:14:32.835  192.168.100.245:连接设备失败,  设备已经连接
16:14:35.913  192.168.100.245:连接设备失败,  设备已经连接
16:14:38.920  192.168.100.245:连接设备失败,  设备已经连接
16:14:42.266  192.168.100.245:连接设备失败,  设备已经连接
16:14:45.276  192.168.100.245:连接设备失败,  设备已经连接
16:14:48.399  192.168.100.245:连接设备失败,  设备已经连接
16:14:51.406  192.168.100.245:连接设备失败,  设备已经连接
16:22:38.553  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:22:52.812  192.168.100.245:连接设备失败,  设备已经连接
16:23:13.938  192.168.100.245:连接设备失败,  设备已经连接
16:23:19.626  192.168.100.245:连接设备失败,  设备已经连接
16:23:24.861  192.168.100.245:连接设备失败,  设备已经连接
16:24:30.320  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:24:40.535  192.168.100.245:连接设备失败,  设备已经连接
16:24:50.409  192.168.100.245:连接设备失败,  设备已经连接
16:27:21.950  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:27:32.126  192.168.100.245:连接设备失败,  设备已经连接
16:27:36.512  192.168.100.245:连接设备失败,  设备已经连接
16:27:41.125  192.168.100.245:连接设备失败,  设备已经连接
16:28:13.656  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:28:35.159  192.168.100.245:连接设备失败,  设备已经连接
16:31:55.502  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:32:05.751  192.168.100.245:连接设备失败,  设备已经连接
16:32:15.801  192.168.100.245:连接设备失败,  设备已经连接
16:32:45.049  192.168.100.245:连接设备失败,  设备已经连接
16:39:09.497  192.168.100.245:连接设备失败,  设备已经连接
16:39:15.200  192.168.100.245:连接设备失败,  设备已经连接
16:39:23.427  192.168.100.245:连接设备失败,  设备已经连接
16:39:43.448  192.168.100.245:连接设备失败,  设备已经连接
16:42:04.471  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:46:36.510  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:46:57.846  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:47:43.924  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:51:30.740  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:52:58.266  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
16:54:44.360  192.168.100.245:配置文件中获取网卡IP失败, ret = -3
