16:13:44.888  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:14:04.117  192.168.100.244:连接设备失败,  设备已经连接
16:14:07.146  192.168.100.244:连接设备失败,  设备已经连接
16:14:31.832  192.168.100.244:连接设备失败,  设备已经连接
16:14:34.840  192.168.100.244:连接设备失败,  设备已经连接
16:14:37.917  192.168.100.244:连接设备失败,  设备已经连接
16:14:41.264  192.168.100.244:连接设备失败,  设备已经连接
16:14:44.272  192.168.100.244:连接设备失败,  设备已经连接
16:14:47.282  192.168.100.244:连接设备失败,  设备已经连接
16:14:50.403  192.168.100.244:连接设备失败,  设备已经连接
16:22:35.440  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:22:51.808  192.168.100.244:连接设备失败,  设备已经连接
16:23:12.935  192.168.100.244:连接设备失败,  设备已经连接
16:23:18.622  192.168.100.244:连接设备失败,  设备已经连接
16:23:23.857  192.168.100.244:连接设备失败,  设备已经连接
16:24:27.196  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:24:39.532  192.168.100.244:连接设备失败,  设备已经连接
16:24:49.406  192.168.100.244:连接设备失败,  设备已经连接
16:27:18.847  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:27:31.120  192.168.100.244:连接设备失败,  设备已经连接
16:27:35.510  192.168.100.244:连接设备失败,  设备已经连接
16:27:40.123  192.168.100.244:连接设备失败,  设备已经连接
16:27:44.718  192.168.100.244:连接设备失败,  设备已经连接
16:28:10.549  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:28:34.157  192.168.100.244:连接设备失败,  设备已经连接
16:31:52.403  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:32:04.747  192.168.100.244:连接设备失败,  设备已经连接
16:32:14.796  192.168.100.244:连接设备失败,  设备已经连接
16:32:44.048  192.168.100.244:连接设备失败,  设备已经连接
16:39:08.493  192.168.100.244:连接设备失败,  设备已经连接
16:39:14.197  192.168.100.244:连接设备失败,  设备已经连接
16:39:22.425  192.168.100.244:连接设备失败,  设备已经连接
16:39:42.445  192.168.100.244:连接设备失败,  设备已经连接
16:42:01.373  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:46:33.368  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:46:54.722  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:47:40.826  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:51:27.640  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:52:55.060  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
16:54:41.242  192.168.100.244:配置文件中获取网卡IP失败, ret = -3
